ReviewTitle,ReviewBody,ReviewStar,Product
"Good product with poor battery backup.
","Beautiful sound quality, noice cancellation. Only thing is first 1week I got good battery backup. Now it's not lasing enen for 1hr also. It's bad.
",2,boAt Rockerz 255
"Best
","Good q.....price 😂
",4,PTron Intunes
"Go for it
","Would recommend to all music lovers.
",5,Sennheiser CX 6.0BT
"Average Headphones at price range 1K
","Battrey backup 3/5Sound Quality 3/5 Do Not expect great bassValue for Money 4/5Bluetooth Reception 3/5Considering price of 1K its an good product for daily use
",4,boAt Rockerz 255
"Another great experience with Sennheiser
","As usual Sennehiser gave the best audio. I was using Cx 180 earlier but due to no mic in that, I bought this one and it is obviously more crisp and clear in quality that 180. Though the product is priced more than 180 but it is worth it. Covering more frequency than 180 on both ends gives this product an extra value for the buck and also another great experience with Sennheiser.
",5,Sennheiser CX 6.0BT
"Bad bass quality
","No bass
",2,JBL T110BT
"Sound quality bad after 15 days
","Please give at least up-to 30 days to return the products. I did not like it after 25 days as it started behaving weird, without any physical intervention. I am not at all satisfied and i want to return the product and buy something else. Not at all fair!
",1,Sennheiser CX 6.0BT
"Be it business or sports this one solves both in most affordable manner
","Good and very good product in the price range I recommend for people looking for mix use at business and sport no need to have separate earphone
",4,boAt Rockerz 255
"Best earphone ever......!!!!!!!!!
","Awesome ............!!!! earphone i just love excellent bass  , excellent sound , best noise cancellation.
",5,Sennheiser CX 6.0BT
"Durability is major issue
","Sound quality is good but it’s not durable.
",1,Sennheiser CX 6.0BT
"Average sound quality
","Pros. Good and comfortable  fit , eliminates noise well  Excellent delivery speed,Cons.  Average sound quality , poor mids and highs
",3,Flybot Boom
"Not durable
","Broke down after a few days of usage. It is not able to power up. Replacement is taking it's own sweet time. Though it's priced cheaper than peer products, realised that quality doesn't come cheap
",1,boAt Rockerz 255
"Good sound
","Bought during offer just in 1000 rs.. sound quality is good..how long durable don't know
",4,boAt Rockerz 255
"This is my bad experience with amazon
","These earphone is not suitable in ear so every minute they are not properly fit. JBL is great brand but this is bad earphone I have seen. JBL is too costly. When is return this earphone amazon is not option to me to return only replacement. That s is my mad experience with amazon.
",1,JBL T205BT
"Perfect headfones
","Perfect product.. bit pricy but quality makes up for it.
",5,Sennheiser CX 6.0BT
"Right ear plug stoped working
","They are the best one to go for In this price .But after using it for six months right ear plug stoped working .
",2,Sennheiser CX 6.0BT
"Not Worth
","Wire is too long to handel, looks like its not a jbl product, plastic qualitu is too low,earbuds is not comfortable,
",1,JBL T110BT
"Very very very bad product
","Very bad and disturbing product , I bought on September 14,2018 within a month speaker and microphone are not working ,  please don’t go for this.
",1,JBL T110BT
"Stopped working !
","Stopped working after 6 months of use ..
",1,JBL T110BT
"how can i make online complaint
","After 2 months battery sucks.. red light not convert to blue after 3 to 4 hour charging... battery shows 60% but suddenly notification of battery low comes
",1,boAt Rockerz 255
"Nice
","Superb deep bass...arrived by time
",5,Flybot Boom
"Waste of Money
","Worst product and complete waste of money.Ear gets hurt and doesnt sit properly.Alos the support tags were not good
",1,boAt Rockerz 255
"Not Happy with this
","Not Happy with this. No voice when Connecting thorugh Jack provided with this. Replaced but still same issue. And sound balance is not proper with both the earplugs.One is quite loud and one is so quite.
",1,Sennheiser CX 6.0BT
"sound
","best
",2,JBL T110BT
"Dont think it is original Sennheiser!
","Faulty product received once and had to return it. The replacement was also of bad quality with bent audio jack.
",2,Sennheiser CX 6.0BT
"Value
","Nice boat
",5,boAt Rockerz 255
"The Quality of the sound is not good. I bought Street II earlier for half the ...
","The Quality of the sound is not good. I bought Street II earlier for half the price of this. This does not stand up to the quality of the Street II. Realized that not all Sennheiser is good.
",2,Sennheiser CX 6.0BT
"Very very bad. The seller is selling defective item
","Totally defective. Ruined my wait and my expectations. Very very bad. The seller is selling defective item.
",1,Sennheiser CX 6.0BT
"Chatta
","Chatta
",2,JBL T110BT
"Worst product for long duration period
","Product is good for 3 months and then the issues beginLeft side will work for somebtime and right will stop as repeatedly
",1,boAt Rockerz 255
"Pls change this product
","Sound & bass IS very lower
",3,JBL T205BT
"Not good
","Sound quality is not good
",1,JBL T110BT
"Cool Bluetooth earphone
","I like the sound quality and connectivity is good. The build quality is also good and it is comfortable within ears.
",5,JBL T205BT
"Ok
","Trouble connecting to the other device if previously paired with another. Design is not what appears from the image shown. It's simple rubber wire.
",3,Flybot Wave
".
","Good sound quality but when you want to receive calls, the sound quality gets bad sometimes... But overall amazing product at this price.
",4,boAt Rockerz 255
"Good product. buy it
","Its a pretty good product. Battery life is an issue but for wireless its good. Though it has a little problem staying in ear because the hooks on the buds keep getting loose.
",5,boAt Rockerz 255
"Returned it
","I Returned it immediately because the sound quality was just like my Rs.400/- panasonic earphones. There was no bass at all.
",1,Sennheiser CX 6.0BT
"Not working after 2 months
","Left side ear phone is not working after 2 months of usage. Within a month mice is not working.
",1,Sennheiser CX 6.0BT
"Super
","I like it
",5,boAt Rockerz 255
"Fault in Left side  ear phone
","Quality not good. Left side speaker is not working properly bass was missing. Sound is cracking
",1,JBL T205BT
"Bass is hitting
","Bass is low point for this earphone.
",3,Sennheiser CX 6.0BT
"Great earphones by Sennheiser.
","Great earphones at this price(1400₹).Pros:better than soundmagic es18s .Bass is well balanced (you can go for sony xb series if u want high bass).Overall a good earphone with quality sound output.Cons:Wire is not so strong..need to handle with care.Jack is not L shaped.
",4,Sennheiser CX 6.0BT
"Best product
","Best product
",4,PTron Intunes
"Awesome Delivery. Wonderful Product.
","Delivery from amazon is really awesome. It was raining heavily since morning, but still i got my package delivered by evening. Awww!!!. Very happy with the service. To say about the product, awesome product for this awesome price. I got it just for 1364 bucks, which is nothing when compared to the quality of the sound and other features. The ear phone gels well with Ipod and other apple products when compared to other Android devices.
",4,Sennheiser CX 6.0BT
"Charging problem after 4months of use
","Durability is not good product is not getting charged indication light is blinking when kept for charge  this happend after 4months of use
",3,JBL T110BT
"PUBG, seller, battery
","Superb quality of sound and music some disadvantage is u can't play pubg with this sometimes there is noise when nearby to a mobile tower , battery percentage indication goes from 100,80,60,20 u won't know when ur battery is getting over,About the seller the package was not up to Mark and box was already opened.
",3,boAt Rockerz 255
"Sound quality is good
","Very nice
",4,JBL T110BT
"Great
","You guys could have worked on battery life.Overall a great product and value for money 👌
",4,boAt Rockerz 255
"Average
","the output is average
",3,boAt Rockerz 255
"Ghatiya wire used.
","Worst earphone. Very easily breakable wire. Not good at all.
",1,Sennheiser CX 6.0BT
"Pubg players must read.
","A great earphones by boAt Rockerz. The earphones is overall great. But if you are buying this earphones for playing pubg I may recommend not because the mic speaker is so low that the other pubg players gets our sound really low. If you are buying this earphones for music, travel, movies etc then go for it.
",5,boAt Rockerz 255
"Worth for money
","Awesome and amazing product
",5,Sennheiser CX 6.0BT
"Poooooor sound quality...muze ye samaj nai ata..ise itni rating kaise mili..
","Sound quality is not good...its like 100rs earphones..its a mono sound not stereo...only bass no other worlds or instruments hear.. built quality is also low...
",2,boAt Rockerz 255
"Worst
","First time I saw this type of quality from JBL earphones Rubber bud is not fixed in earphone properly
",1,JBL T205BT
"Quality wire and ear ends
","As usual the wires tangle... But impressive sound quality and bass. Fine noise cancellation..
",5,Sennheiser CX 6.0BT
"Durability
","Did not work after 3 months of using
",2,JBL T110BT
"Gift is ears
","Good product sound is to goodReally enjoy good quality of sound.
",4,Sennheiser CX 6.0BT
"Minus 10 Star Rating
","Don't buy this product.1st time purchased JBL Product but totally disappointed.Feel heavy on neck. Battery and Volume both are big in size.Good for normal classic music.More Treble then Bass.Sound on Call very bad.Will not even give any star rating fo4 this product.
",1,JBL T110BT
"regarding misbehaviour
","after 15days its misbehave , headphone has conneted  showing but its not works every 20-30mints restarts the boAt Rockerz 255 Sports Bluetooth headphones.
",2,boAt Rockerz 255
"Excellent
","Nice product
",5,boAt Rockerz 255
"Good product
","Product is good but when it connects to mobile device, some time the voice quality goes down during the call. I am using this with one plus 5. Battery backup is good as shown.
",4,boAt Rockerz 255
"Three Stars
","Clarity is very good, noice reduction also good.. But it is so louder that ears got irritated sometime...
",3,Sennheiser CX 6.0BT
"Satisfied with this product
","Sound quality Awesome, Battery life is very good but auto connection problem we have to connect manually otherwise no problem at all.  If you want to buy then you can buy it.
",4,boAt Rockerz 255
"Its an average built headphone.
","In the name of noise cancellation it it just a freek. It just fits good in ears doesn't cansel noise. Wire should have been made of better quality to avoid tangelling. In the price range that it is being sold.
",5,Sennheiser CX 6.0BT
"Good sound quality and base but could have done better with Bluetooth strength.
","The Bluetooth connectivity gets interrupted at times with distorted sounds coming even if the earphones and the device you've connected it to is nearby each other. Would have liked a way to adjust the length of the cable like in the Jaybirds.
",4,JBL T110BT
"Worth it!
","Overall pretty good.Complete noise cancellation is not expected at this price range anyway. But it does reduce some background noise.Earbubs fit quite well. Would not fall off during workout. Build quality is also very nice.Sound quality is very good at this price range although it lacks the punchy bass that some prefer.
",4,Sennheiser CX 6.0BT
"Superb...
","The volume and bass quality is superb, also has a high range bluetooth connectivity.
",5,Flybot Wave
"Solid
","Earphones are solid!! But the wire is thin, i just boight them. I am a bass lover and for me its is a solid deal!
",4,Sennheiser CX 6.0BT
"The worst ear piece I ever bought.
","The worst ear piece I ever bought. Worst distortion of sound and is loose fitting in the socket in phone.
",1,Sennheiser CX 6.0BT
"NOT COMFORTABLE
","they are not comfortable ear start paining after 15 20 minsAND SOUND QUALITY IS TATTI BC ☹️ ACHE REVIEWS SE FAS MAT JANA...MAT LO ⚠️⚠️⚠️⚠️
",1,JBL T205BT
"Loved this product
","I just loved my new earphones ...they fit excellently in my ears ....and the bass is also perfect
",5,boAt Rockerz 255
"Connectivity problem
","My Bluetooth device is not properly working there is some connectivity issues first the device is normally connet to my phone than after some time this was disconnected suddenly without any reasonPlz fix it otherwise gime me anyone some tips for how to fix this problem
",1,boAt Rockerz 255
"Three Stars
","Sennheiser cx180 is much better.. and the price is way too less!! Go for sennheiser cx180!!
",3,Sennheiser CX 6.0BT
"Lost bluetooth
","Lost my jblbluetooth 😭
",5,JBL T110BT
"Quality of the product not that great
","Not that great sound quality good but quality not that gr8
",1,Sennheiser CX 6.0BT
"Good to go! Good to hear..!
","A bit delicate and sensitive like, earphone cables are a bit lengthy. But u can't get anything better for this price tag of 1099!
",4,boAt Rockerz 255
"Boat is like Boss now..!
","Happy for the purchase and the sound output is very good. Got this for 1k in 'Deal for the Day'. Thank you Amazon :)
",4,boAt Rockerz 255
"Awesome quality sound but speakers stop working within 3 mnths
","Bass is awesome but speakers stopped working within 3 months and warranty is waste coz it takes almost 20 days to get repaired and after repaired also speakers stopped working completely
",1,boAt Rockerz 255
"Good Purchase
","Ear hooks may be provided extra
",4,boAt Rockerz 255
"Not much bass as expected from JBL
","A bit too long for sports use. JBL wired earphones provide more bass than this one. Otherwise pretty nice for casual use
",3,JBL T110BT
"You can buy...its a good product...
","I like it...jst go for it
",4,JBL T205BT
"Not durable
","I bought this headphones but its cord broke after a year of use. Not durable enough
",2,Sennheiser CX 6.0BT
"Good sound quality. Bad build quality
","The audio is pretty good. Bass is average. But the built quality is really bad. After 6 months the insulation is worn out. I'm not a hard core user. The product is just bad.
",2,Sennheiser CX 6.0BT
"Packing was good and product quality is superb
","I purchased it 3 months ago from Amazon. Packing was good and product quality is superb. It has great Bass and clear sound with good noise cancellation. It really has value for money
",5,Sennheiser CX 6.0BT
"Super
","Love is all I can say, wonder product.Value for money.Super like..
",4,boAt Rockerz 255
"Regular complain for Hazy and unclear voice on the opposite side
","The person called complains for hazy & unclear voice .  Such a great brand JBL but the quality hopeless.
",1,JBL T205BT
"Awesome product and super fast delivery!
","I received this product in a day which is the fastest I've ever received any order from Amazon at. Really happy with the earphones and sound quality is absolutely amazing. I owned a pair of sennheiser  cx180s which is still as great as new which I purchased in July 2015 last year. I must say that the durability of sennheiser earphones is marvellous as I tried using the skullcandy earphones before and they wouldn't survive for even  last 3 months. After the first listen to a song, I could make out how the bass is boosted in the 275s and the notes as super clear. So happy! Totally worth the money. And I'm glad I upgraded to this. I'm a total sennheiser fan!
",5,Sennheiser CX 6.0BT
"Average
","Low bass
",3,Sennheiser CX 6.0BT
"very good headphones to use with any smartphones
","very good headphones to use with any smartphones....but very less Bass even after switched on the IR blaster mode. expensive as the price you are buying.
",3,Sennheiser CX 6.0BT
"Not up to the level
","Some what sound quality noise cancellation also nominal but i didn't expect these kind of stuff from boat like companies
",3,boAt Rockerz 255
"so i bought it from outside but have to review ...
","so i bought it from outside but have to review it........don't buy it , doesn't have any bass at all
",2,JBL T110BT
"Worst product or duplicate items. Feeling cheated by Amazon.
","Nothing to like. Worst product, not worth to buy even for RS. 500. If you really care about review don't buy this product. Stopped working in 1 month. Worst battery backup. Worst quality product nothing good.
",1,boAt Rockerz 255
"Small Area Connectivity
","Small radius distance connectivity, increasing of some radius distance cause voice hampering.
",3,boAt Rockerz 255
"#Very cheep
","Sound wise its good but not in the traffic or road areas... Few weeks later its mic was not working.. I brought this for talking.. But now i can't.. Its price also so high.. At the same time its quality is vry poor...
",2,JBL T205BT
"Four Stars
","Great Hearing musical device  and enjoy uninterrupted Music
",4,Sennheiser CX 6.0BT
"Battery life and speaker very poor.
","Battery life is very less. Lasts 2-3 hours.  It is only for listening.. Speaker phone isn't loud and clear.. Better to spend a bit more but buy a decent product.
",2,PTron Intunes
"Nice but not best ....nirvana are very much better
","Nice,but the boat nirvana sound quality is very much better compared to this....works fine for occasional usage
",3,boAt Rockerz 255
"Not pocket friendly (in terms of design)
","Can't keep this in your pocket. Make sure you like this design before you buy. You can see this product on YouTube.
",3,boAt Rockerz 255
"Nice
","Small comfortable good sound
",5,JBL T110BT
"Poor bass compared to other earphone in same price and loudness was not there
","The loudness was very low as well as the bass
",3,Sennheiser CX 6.0BT
"Not happy with Amazon
","First one i order had connectivity issues so i order a replacement...look at the pictures of replacement product... package looks tampered or used..and the earphones were dirty also
",2,boAt Rockerz 255
"Four Stars
","Real good and convenient
",4,Skullcandy S2PGHW-174
"Not connecting with One plus 6
","Could not able to connect with One plus Device
",1,boAt Rockerz 255
"Two Stars
","Rate high then pytm
",2,JBL T110BT
"😍😍😍
","Amazing.....the quality is really nice..... Must try
",5,boAt Rockerz 255
"Good
","Good
",3,JBL T205BT
"Quality
","Head Phone doesn't to work more than 6 to 8 month...after that it's start to create connection problem.
",2,Sennheiser CX 6.0BT
"Stopped working after 6 months
","worked well for the last 6 months and now all of a sudden does not turn on. There is no clear info on where to get these replaced/repaired in Bangalore.
",1,Skullcandy S2PGHW-174
"Not upto the mark
","the quality not as expected
",2,PTron Intunes
"Never recommend
","I only use it for 2 hrs a day and the product is just use less.. within 3 months it has started its issues.. even when fully charged it only works for a max limit of 10mins..worst product ever used.
",1,JBL T110BT
"Pathetic Speaker Of the Year
","One of the worst sounding speakers ever I have purchased in my life. Road side ₹100 speakers sound much much better than this.The audio quality is so tinny, no base, no clarity just distorted pathetic sound.Don’t u even think of answering your wife’s call on this one as she might misunderstand u for saying something else as the audio is so poor the other person is always like “Say what now”...
",1,JBL T110BT
"Three Stars
","If you listen at full volume then person next to you will also get to hear all the sound
",3,Sennheiser CX 6.0BT
"Beware if you're not a senheiser fan!
","Not durable even for 2 years warranty. Couldn't find it better than my existing headphones... That I received with my samsung smartphone!
",1,Sennheiser CX 6.0BT
"Length is too short and Battery backup is poor
","Length is too short and Battery backup is poor
",3,PTron Intunes
"Good
","Good but please use audify music appafor music because u can control the bass
",5,boAt Rockerz 255
"Stopped charging
","After 8 months i am facing issues with its charging.
",1,JBL T110BT
"Decent but comes with disclaimer
","Decent but has a lot of cons. Ears start painting after a prolonged use hence is not designed wellNoise cancellation is very low.
",3,JBL T205BT
"Overpriced
","Sound quality is good..but the product is slightly over priced
",3,Sennheiser CX 6.0BT
"Not suitable for honour mobiles
","Dont how does it works with other phones but with honour pro i used to get headache whenever i use it...
",1,boAt Rockerz 255
"Disconnected automatically
","It's great to have this but I have sometimes it disconnected automatically while listing music and playing games...It's disturbing!
",3,JBL T205BT
"Can be better and cheaper
","Good product though
",3,JBL T205BT
"Worth buy
","Amazing product
",5,JBL T110BT
"Not good quality
","Not good quality
",1,JBL T110BT
"Style not suitable for workout sessions!
","The earphone is fine. The wire is way too long which is annoying during worouts. The wire at the neck is way too thick. Seems like wearing a hairband around the neck. I do not like it for that reason. It will just keep shifting from one side to another and will distract you during workouts.Dound quality is good. However, the bluetooth range is not so good. It starts to disconnectent while moving in the gym from one side another.
",2,boAt Rockerz 255
"Wasted my Money
","frequently getting disconnected in d middle of watching videos or listening.. Previously bought Cross beats... comparing to that.. Samsung is really waste.. I had waste the amount and its not worth for it..
",1,Samsung EO-BG950CBEIN
"Need replacement
","Second time am facing the issue. Double voice hearing like a mimicry.
",1,JBL T205BT
"Five Stars
","Good output. Comfortable to the ear. Light weight. Good bag to carry it. Overall satisfied with my buy
",5,Sennheiser CX 6.0BT
"1 month user experience...
","experience is awesome quite handy grt sound best thing I have been is excellent battery at this price range....Recommend to buy
",4,boAt Rockerz 255
"not happy with the product
","for a JBL I expected better sound quality.
",1,JBL T110BT
"Overall good but could have improved the battery life
","Sound quality n bass is good but the battery backup is generally 4-5 hrs
",3,boAt Rockerz 255
"Best Earphone.
","Fits perfectlyCan be used for long time.Excellent sound quality.Best thing: If the product is damaged( No physical damage) within 2 years of purchase Sennheiser will replace it, no question asked.
",5,Sennheiser CX 6.0BT
"Please dont buy!!!!!
","Please don't buy this product. Only after using for 1 month earphones had stopped working and got it replaced within 15 days time. Now again I'm facing same issue with the replaced one.Had bought this earphones for jogging especially for jogging purpose however the keys don't work and I'm not sure of these are even sweat proof. Purchased in the month of March'19 now facing a lot of issues as to charging, battery life, Bluetooth connectivity, ear placement.
",1,boAt Rockerz 255
"Wire quality is very bad
","Wires have cuts in between and I was not able to use it before so unable to return it.
",2,Sennheiser CX 6.0BT
"According to price doesn't meets the expectations
","Sounds quality is not that good also a plastiki built which in not very durable price doesn't meets the expectations.
",4,boAt Rockerz 255
"Good earphones.
","Good Bluetooth earphone for listening music. Noise cancellation is very less.
",5,boAt Rockerz 255
"Chang
","Right saund not
",1,JBL T110BT
"Must buy product by sennheiser
","Likes- build quality, sound of course was the best thing.
",5,Sennheiser CX 6.0BT
"Good quality
","Sound good. Bt material quality is ok
",5,Sennheiser CX 6.0BT
"Very bad product deliver
","This product not good and not good sovery sounds and Refurnish product delivered very  bed quality...
",1,JBL T205BT
"POOR QUALITY
","very poor quality and charge does not work!! do not buy this!
",1,boAt Rockerz 255
"... also vry gud one but these r little more better then buds 2 and also u will get warranty ...
","I was using skullcandy smokin buds 2 and I must say that buds 2 also vry gud one but these r little more better then buds 2 and also u will get warranty of 2 yrs. on cx 275s....so must suggest to all of my frnds to go for sennheiser cx 275s in this prize range :)
",5,Sennheiser CX 6.0BT
"Screeching sound
","When put to full volume..sound wasn’t clear enough and it was a bit of screeching sound that came along..indeed it was on the day i got the product delivered..not so good
",2,Flybot Wave
"Durability 💩💩💩
","1 month - awesome2 month - left earphone stopped working3 month - right earphone stopped workingjust after that.. .refer the pics uploaded.Boat is known for it's durability. Because I have a wired boat earphone too.But this one was a worthless, hopless and junk product.But yes Bluetooth is still working absolutely fine (not the earphones).
",1,boAt Rockerz 255
"Connectivity issue
","I got a damaged product on my first delivery then on exchange within 2-3 weeks i am having connectivity issue,  also the voice quality is not as such,  I'm not impressed by the product and it's not buying worth it,  and if there would be a return option i would have gone for it
",2,boAt Rockerz 255
"Worth it
","Worth every single rupee
",5,Sennheiser CX 6.0BT
"Not value for money
","Sound quality is average not as per JBL standard, not value for money.
",2,JBL T110BT
"Good if you don’t have mobile packed earphones
","Bass is powerful, but overall sound balance is not clear and balanced... and yes most important it hurts in ear after long use
",2,boAt Rockerz 255
"rest all good.
","Don't know whether it's defect one or not. Sometimes phone media will not work at all, rest all good.
",2,Skullcandy S2PGHW-174
"Value for money
","Pros1. Great sound quality.2. Value for money.3. Easy pairing.Cons.1. Difficult to fit small ears.2. Battery should be go bit longer.
",4,boAt Rockerz 255
"3Star For Reasons
","Sound Quality is average, Battery last for 4-5 Hours of playback, major drawback is Bluetooth range is as weak as let's say 10Mtr Max Other one is this Bluetooth Headset interfering with my WiFi I changed channel of wifi and everything but couldn't help. While connection with Bluetooth I can't reach even 5Mbps speed of my WiFi.
",2,boAt Rockerz 255
"Poor sound quality
","The sound quality is horrible, too basy heavy. Connectivity issues are also quite persistent
",2,boAt Rockerz 255
"Bluetooth connectivity
","Getting interruption in bluetooth connectivity while phone is in pocket.
",4,boAt Rockerz 255
"Probably the best in the price range
","Probably the best in the price range.wonderful bass and treble is just perfect for the users. However the wiring quality is damn too cheap likr any other headphones. Still sennheiser has that added advantage of any other headphones in this range. Satisfied with the product.
",4,Sennheiser CX 6.0BT
"No punch in bass
","Jbl t160 was way better than this. Punchy bass is missing.
",2,JBL T205BT
"Definitely worth if you are looking at basic model
","Very good sound clarity with bass. The neck band is very flexible. You do not have to worry about handling. It looks like it would withstand rough use to a good extent. Overall a very good basic product. I have used many other boAt wired and wireless earphones. This is not a long term review of the product though.
",5,boAt Rockerz 255
"but bass enthusiasts will be disappointed.
","Drivers are small (8mm) -slight difficulty getting it into ears.Sound is OK,but bass enthusiasts will be disappointed.
",3,Sennheiser CX 6.0BT
"Love it.
","I've been using it for more than six months. It works amazingly well
",5,Sennheiser CX 6.0BT
"poor product
","not worth the purchase
",2,JBL T110BT
"Boost the Hidden Beats with Sennheiser CX275
","After using a month i'm writing this review.  Its good to buy. Go ahead if you're a LOVER of EMDPros:1. Sound quality is Superb.2. Treble does it works well.3. Noise cancellation is excellent ( Don't USE while driving/riding the bike).4. Remote button is really good , its feature.  4.1-  You can pick the call.  4.2-  You can change the song by double press, and pause the song by single press.Cons:1. Built quality is OK (Looks like Plastic type).2. Thin cable.3. Bass is not up to the mark.4. Mic doesn't cancel the external noise (Like Mobile phone's built-in Mic). Its good to use in closed area / Traffic-less place.
",4,Sennheiser CX 6.0BT
"Need to take action against dealer
","In one month one side speaker stop working, seriously I don't know now where to go, if you are spending this amount and what you get behalf of this really unacceptable 😠😠, too bad , at least Amazon should need to take action against dealer
",1,boAt Rockerz 255
"Not worth
","Got it at 2000 ₹ at cromaNot worth 2000 sound quality is not that good and call quality is totally worst
",3,JBL T205BT
"Left Ear stopped working
","I was satisfied with this product and enjoyed using it but after 3 months the left ear piece started lowering the sound. I thought it must be the song quality and nevertheless kept hearing the songs. After about 10 months the sound from left ear piece stopped working all of the sudden. I know its not my mistake since i never used it in moist area not do i take it our during a workout. I have asked Both amazon and the Seller to replace the product for me when the warranty was valid and its been long since then and there's no response from both Amazon and the Seller.
",2,JBL T110BT
"Thank you amazon
","I'm Very very happy with these product it was very powerful earphones
",5,JBL T110BT
"Not compatible
","It was not connecting to my phone, when I connected to other phone I was working good. I want to return the product.
",4,boAt Rockerz 255
"Nice product
","Nice product with excellent bass . Good balance of sound and bass. Nice design.Cons:- wire is very thin ,have to be careful
",5,Sennheiser CX 6.0BT
"Battery life is pathetic rest awesome
","Sound quality is awesome . But battery is not at all good. Disconnecting when I rode the bike at 70kmph with these on.
",3,boAt Rockerz 255
"Worst for calling
","Worst, outside sounds will more than original voice, sound quality not at all good
",2,boAt Rockerz 255
"mic good music superb
","Music is quite good although the mic is just OK ok. I generally listen it while jogging in the morning
",3,Sennheiser CX 6.0BT
"Disappointed with the product
","Boat has lot of disturbance while talking on a call and also noise cancellation does not work at all..Ant audio is far better than this. No distrubance at all and also noise cancellation is excellent...Used on bike and during workouts as well
",2,boAt Rockerz 255
"How do I get it serviced
","It's haven't even been months and the right earphones is not working and its Mike listen to all the noise  coming from 300 metre away but not my voice who is in front of it
",1,boAt Rockerz 255
"and the sound is also annoying some times
","I am totally dissatisfied with this product, won't compatible with all the devices out there, and the sound is also annoying some times.
",2,Sennheiser CX 6.0BT
"Good and worth of money
","It has some breaks in connectivity
",4,boAt Rockerz 255
"Awesome product for this price
","This product has greater value for money. Good sound quality greater bass. Noise cancelation is also good. I never think the product is going to performs in such a manner
",5,boAt Rockerz 255
"One Star
","Worst product I have ever received.Poor bass and poor mic
",1,JBL T110BT
